ticker,insider_name,transaction_date,transaction_type,price,shares,value,relationship,sec_form4,market_open_at_trade,market_close_at_trade,high_at_trade,low_at_trade,sma_20_at_trade,rsi_14_at_trade,sma_20_prev,price_prev,high_plus_7d,low_plus_7d,max_gain_7d,max_drawdown_7d,high_plus_14d,low_plus_14d,max_gain_14d,max_drawdown_14d,high_plus_30d,low_plus_30d,max_gain_30d,max_drawdown_30d,high_minus_7d,low_minus_7d,high_minus_15d,low_minus_15d,final_gain_30d,case_2_outcome,ownership_pct,tags,score,bucket,outcome_case_1,outcome_case_2
PRME,NELSEN ROBERT,2025-08-01,Buy,3.3,3030300,9999990,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1219042/000106299325013462/xslF345X05/form4.xml,3.509999990463257,4.039999961853027,4.070000171661377,3.509999990463257,4.228250002861023,56.10577707902282,4.181749999523163,3.740000009536743,4.724999904632568,3.5,43.18181529189602,6.060606060606066,4.724999904632568,3.3499999046325684,43.18181529189602,1.5151486252293498,,,,,4.360000133514404,3.5199999809265137,5.170000076293945,3.5199999809265137,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.018404,"['📋 Director', '🔥 VERY LARGE TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '🧨 CAUGHT THE KNIFE [7d]', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '📅 NEAR EARNINGS', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY']",17.0,Highest Conviction (15+),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
RPD,"JANA Partners Management, LP",2025-08-11,Buy,18.23,358738,6539794,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1560327/000090266425003562/xslF345X05/ownership.xml,17.899999618530273,18.770000457763672,18.780000686645508,17.895000457763672,21.45225009918213,29.570623680357343,21.653750038146978,17.875,21.780000686645508,18.670000076293945,19.473399268488794,2.413604368041387,,,,,,,,,20.86000061035156,17.829999923706055,23.020000457763672,17.829999923706055,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.004738,"['📋 Director', '💰 LARGE TRADE', '🌱 SMALL CAP', '📡 Tech', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '📉 BELOW SMA20', '🔻 OVERSOLD (RSI < 30)', '📉 DIP SETUP', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
RVP,SHAW THOMAS J,2025-07-31,Buy,0.71,5339,3816,PRESIDENT AND CEO,https://finviz.com/http://www.sec.gov/Archives/edgar/data/946563/000141588925020821/xslF345X05/form4-08012025_040810.xml,0.75,0.7400000095367432,0.75,0.699999988079071,0.6845000088214874,72.39747577518527,0.6795000076293946,0.7400000095367432,0.7599999904632568,0.6899999976158142,7.042252177923504,-2.816901744251515,0.8399999737739563,0.6899999976158142,18.309855461120613,-2.816901744251515,,,,,0.75,0.6899999976158142,0.75,0.6600000262260437,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000173,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +10% [14d]', '📅 NEAR EARNINGS', '📈 ABOVE SMA20', '🚀 OVERBOUGHT (RSI > 70)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SMRT,Bohjalian Thomas N,2025-08-11,Buy,1.26,150000,189000,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1354287/000135428725000003/xslF345X05/ownership.xml,1.2699999809265137,1.25,1.2799999713897705,1.2100000381469729,,70.3709921327087,,1.2699999809265137,1.559999942779541,1.2799999713897705,23.809519268217542,1.587299316648452,,,,,,,,,1.2999999523162842,0.8999999761581421,1.2999999523162842,0.8999999761581421,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000804,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📡 Tech', '🚀 SPIKE +20% [7d]', '🚀 OVERBOUGHT (RSI > 70)', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SMRT,Bohjalian Thomas N,2025-08-12,Buy,1.37,25000,34250,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1354287/000135428725000003/xslF345X05/ownership.xml,1.3600000143051147,1.3600000143051147,1.3949999809265137,1.3300000429153442,,,,1.25,1.6299999952316284,1.2799999713897705,18.97810184172469,-6.569345154031357,,,,,,,,,1.2999999523162842,0.8999999761581421,1.2999999523162842,0.8999999761581421,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000146,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📡 Tech', '🚀 SPIKE +10% [7d]', '📉 DIP -5% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SMRT,Martell Frank,2025-08-11,Buy,1.26,100000,126480,Chief Executive Officer,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1387655/000138765525000006/xslF345X05/ownership.xml,1.2699999809265137,1.25,1.2799999713897705,1.2100000381469729,,70.3709921327087,,1.2699999809265137,1.559999942779541,1.2799999713897705,23.809519268217542,1.587299316648452,,,,,,,,,1.2999999523162842,0.8999999761581421,1.2999999523162842,0.8999999761581421,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000538,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📡 Tech', '🚀 SPIKE +20% [7d]', '🚀 OVERBOUGHT (RSI > 70)', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SMRT,Martell Frank,2025-08-12,Buy,1.37,130000,178230,Chief Executive Officer,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1387655/000138765525000006/xslF345X05/ownership.xml,1.3600000143051147,1.3600000143051147,1.3949999809265137,1.3300000429153442,,,,1.25,1.6299999952316284,1.2799999713897705,18.97810184172469,-6.569345154031357,,,,,,,,,1.2999999523162842,0.8999999761581421,1.2999999523162842,0.8999999761581421,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000758,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📡 Tech', '🚀 SPIKE +10% [7d]', '📉 DIP -5% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SNYR,Ross Jack,2025-06-20,Buy,2.6,10300,26780,CEO and Chairman,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1562733/000147450625000145/xslF345X05/primary_doc.xml,2.200000047683716,2.650000095367432,2.819999933242798,2.200000047683716,2.05799999833107,65.81533390520258,2.0304999887943267,2.2100000381469727,2.789999961853028,2.311000108718872,7.307690840501064,-11.11538043388954,3.3299999237060547,2.311000108718872,28.07692014254056,-11.11538043388954,,,,,2.5339999198913574,2.0199999809265137,2.5339999198913574,1.850000023841858,0.596412530394413,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000859,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +20% [14d]', '📉 DIP -10% [7d]', '📉 DIP -10% [14d]', '📈 ABOVE SMA20', '🟡 NEUTRAL (RSI)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SNYR,Ross Jack,2025-06-30,Buy,2.69,2600,6994,CEO and Chairman,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1562733/000147450625000145/xslF345X05/primary_doc.xml,2.680000066757202,2.8499999046325684,2.880000114440918,2.5,2.268999993801117,66.89950017716707,2.214499998092651,2.430000066757202,3.440000057220459,2.720000028610229,27.88104301934792,1.1152426992650224,3.440000057220459,2.720000028610229,27.88104301934792,1.1152426992650224,4.0,2.720000028610229,48.69888475836432,1.1152426992650224,2.789999961853028,2.311000108718872,2.819999933242798,2.0799999237060547,0.373076897401076,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000224,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '🚀 SPIKE +20% [30d]', '📈 ABOVE SMA20', '🟡 NEUTRAL (RSI)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SNYR,Ross Jack,2025-07-02,Buy,3.23,3750,12112,CEO and Chairman,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1562733/000147450625000145/xslF345X05/primary_doc.xml,3.059999942779541,3.240000009536743,3.3299999237060547,2.9600000381469727,2.3924999952316286,73.26144107192725,2.333999991416931,3.059999942779541,3.440000057220459,2.9100000858306885,6.501549759147338,-9.9071180857372,3.440000057220459,2.9100000858306885,6.501549759147338,-9.9071180857372,4.0,2.9100000858306885,23.8390092879257,-9.9071180857372,3.289999961853028,2.311000108718872,3.289999961853028,2.130000114440918,0.1016393098674837,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000388,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +5% [14d]', '🚀 SPIKE +20% [30d]', '📉 DIP -10% [7d]', '📉 DIP -10% [14d]', '📉 DIP -10% [30d]', '📈 ABOVE SMA20', '🚀 OVERBOUGHT (RSI > 70)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SNYR,Ross Jack,2025-07-03,Buy,3.22,1750,5635,CEO and Chairman,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1562733/000147450625000145/xslF345X05/primary_doc.xml,3.200000047683716,3.240000009536743,3.299999952316284,3.0899999141693115,2.4524999976158144,73.26144107192725,2.3924999952316286,3.240000009536743,3.440000057220459,2.9100000858306885,6.832299913678844,-9.627326526997258,3.690000057220459,2.9100000858306885,14.596275068958349,-9.627326526997258,4.0,2.9100000858306885,24.223602484472043,-9.627326526997258,3.3299999237060547,2.311000108718872,3.3299999237060547,2.130000114440918,0.0857585044837219,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000181,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +10% [14d]', '🚀 SPIKE +20% [30d]', '📉 DIP -10% [7d]', '📉 DIP -10% [14d]', '📉 DIP -10% [30d]', '📈 ABOVE SMA20', '🚀 OVERBOUGHT (RSI > 70)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SNYR,Ross Jack,2025-07-10,Buy,3.19,1400,4466,CEO and Chairman,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1562733/000147450625000145/xslF345X05/primary_doc.xml,3.1619999408721924,3.203000068664551,3.299999952316284,3.0169999599456787,2.6858999848365785,66.32276793533117,2.634749984741211,3.0999999046325684,3.690000057220459,3.0230000019073486,15.673982984967369,-5.235109658076844,4.0,3.0230000019073486,25.39184952978057,-5.235109658076844,4.0,3.0230000019073486,25.39184952978057,-5.235109658076844,3.440000057220459,2.9100000858306885,3.440000057220459,2.311000108718872,0.1238095116993739,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000143,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP', '🏥 Healthcare', '🚀 SPIKE +10% [7d]', '🚀 SPIKE +20% [14d]', '🚀 SPIKE +20% [30d]', '📉 DIP -5% [7d]', '📉 DIP -5% [14d]', '📉 DIP -5% [30d]', '📈 ABOVE SMA20', '🟡 NEUTRAL (RSI)', '💪 STRONG TREND', '🟢 SUCCESSFUL TRADE C1', '🧩 MULTIPLE BUYS']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SONO,Casey Saori,2025-08-08,Buy,10.94,22727,248688,Chief Financial Officer,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000112760225020308/xslF345X05/form4.xml,10.970000267028809,11.329999923706056,11.34000015258789,10.760000228881836,,,,10.970000267028809,13.40999984741211,11.220000267028809,22.57769513173775,2.559417431707579,,,,,,,,,11.720000267028809,10.109999656677246,12.109999656677246,10.109999656677246,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000192,"['💼 CFO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📡 Tech', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SONO,"Coliseum Capital Management, L",2025-08-01,Buy,10.38,80000,830400,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025103308/xslF345X05/ownership.xml,10.5600004196167,10.359999656677246,10.5600004196167,10.220000267028809,10.87050004005432,42.05138426041837,10.908500051498413,10.8100004196167,11.720000267028809,10.109999656677246,12.909443805672522,-2.601159376905151,13.40999984741211,10.109999656677246,29.19074997506848,-2.601159376905151,,,,,12.109999656677246,10.800000190734863,12.109999656677246,10.470000267028809,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.00064,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📡 Tech', '🧨 CAUGHT THE KNIFE [7d]', '🚀 SPIKE +10% [7d]', '🚀 SPIKE +20% [14d]', '📅 NEAR EARNINGS', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",15.0,Highest Conviction (15+),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SONO,"Coliseum Capital Management, L",2025-08-05,Buy,10.83,160000,1732800,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025103308/xslF345X05/ownership.xml,10.960000038146973,10.859999656677246,11.0,10.739999771118164,,,,10.869999885559082,12.93000030517578,10.109999656677246,19.390584535325758,-6.648202616091911,13.9399995803833,10.109999656677246,28.716524287934448,-6.648202616091911,,,,,12.109999656677246,10.220000267028809,12.109999656677246,10.220000267028809,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.001335,"['🔟 10% Owner', '💰 LARGE TRADE', '🌱 SMALL CAP', '📡 Tech', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '📉 DIP -5% [7d]', '📉 DIP -5% [14d]', '📅 NEAR EARNINGS', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",15.0,Highest Conviction (15+),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SONO,"Coliseum Capital Management, L",2025-08-07,Buy,10.61,127406,1351778,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025106774/xslF345X05/ownership.xml,11.699999809265137,10.970000267028809,11.720000267028809,10.109999656677246,,,,11.039999961853027,13.40999984741211,10.760000228881836,26.3901964883328,1.4137627604320124,,,,,,,,,11.399999618530272,10.220000267028809,12.109999656677246,10.220000267028809,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.001041,"['🔟 10% Owner', '💰 LARGE TRADE', '🌱 SMALL CAP', '📡 Tech', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",15.0,Highest Conviction (15+),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SONO,"Coliseum Capital Management, L",2025-08-08,Buy,11.21,55000,616550,10% Owner,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000095017025106774/xslF345X05/ownership.xml,10.970000267028809,11.329999923706056,11.34000015258789,10.760000228881836,,,,10.970000267028809,13.40999984741211,11.220000267028809,19.625333161570996,0.0892084480714339,,,,,,,,,11.720000267028809,10.109999656677246,12.109999656677246,10.109999656677246,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000475,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📡 Tech', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
SONO,Conrad Thomas,2025-08-08,Buy,11.1,92300,1024299,Chief Executive Officer,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1314727/000112760225020305/xslF345X05/form4.xml,10.970000267028809,11.329999923706056,11.34000015258789,10.760000228881836,,,,10.970000267028809,13.40999984741211,11.220000267028809,20.81080943614513,1.0810834867460266,,,,,,,,,11.720000267028809,10.109999656677246,12.109999656677246,10.109999656677246,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000789,"['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '📡 Tech', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '⚠️ INSUFFICIENT DATA FOR MA/RSI', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY']",13.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
TLRY,SIMON IRWIN D,2025-07-30,Buy,0.61,165000,100106,President and CEO,https://finviz.com/http://www.sec.gov/Archives/edgar/data/922748/000117184325004845/xslF345X05/ownership.xml,0.5899999737739563,0.6100000143051147,0.6200000047683716,0.5799999833106995,0.6290000021457672,51.71314169597402,0.6195000007748603,0.5799999833106995,0.6600000262260437,0.550000011920929,8.196725610826839,-9.83606361951984,1.25,0.550000011920929,104.91803278688523,-9.83606361951984,,,,,0.8299999833106995,0.550000011920929,0.8299999833106995,0.550000011920929,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000157,"['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '🏥 Healthcare', '🚀 SPIKE +5% [7d]', '🚀 SPIKE +20% [14d]', '📉 DIP -10% [7d]', '📉 DIP -10% [14d]', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
TROX,Romano John D,2025-08-01,Buy,3.09,100000,308930,CEO and Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1344537/000114036125028286/xslF345X05/form4.xml,3.109999895095825,3.400000095367432,3.490000009536743,2.950000047683716,5.318999981880188,27.2608792069025,5.427999973297119,3.190000057220459,3.619999885559082,3.109999895095825,17.152099856280977,0.6472457959814025,3.859999895095825,3.109999895095825,24.919090456175574,0.6472457959814025,,,,,5.869999885559082,3.0,5.96999979019165,3.0,,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000573,"['👑 CEO', '🟢 SMALL TRADE', '🌱 SMALL CAP', '⚙️ Materials', '📉 BELOW CLOSE', '🚀 SPIKE +10% [7d]', '🚀 SPIKE +20% [14d]', '📉 BELOW SMA20', '🔻 OVERSOLD (RSI < 30)', '📉 DIP SETUP', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY']",15.0,Highest Conviction (15+),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
UPXI,Dugan Lawrence,2025-07-16,Buy,5.69,11000,62600,Director,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1775194/000147793225005238/xslF345X05/form4.xml,5.78000020980835,7.260000228881836,7.699999809265137,5.300000190734863,5.250750017166138,54.09952732002557,5.37975001335144,5.199999809265137,10.619999885559082,6.25,86.64323173214554,9.841827768014053,10.619999885559082,4.78000020980835,86.64323173214554,-15.992966435705636,10.619999885559082,4.309999942779541,86.64323173214554,-24.25307657680948,6.570000171661377,3.930000066757202,6.570000171661377,2.7300000190734863,0.5280464401097547,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.000251,"['📋 Director', '🟢 SMALL TRADE', '🐣 MICRO CAP', '📞 Communication', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '🚀 SPIKE +20% [30d]', '📉 DIP -10% [14d]', '📉 DIP -20% [30d]', '📈 ABOVE SMA20', '⚡️ SMA SUPPORT RECLAIMED', '🟡 NEUTRAL (RSI)', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY', '🧩 MULTIPLE BUYS']",14.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
UPXI,MARSHALL ALLAN,2025-07-11,Buy,4.94,161943,799998,Chief Executive Officer,https://finviz.com/http://www.sec.gov/Archives/edgar/data/1279925/000147793225005236/xslF345X05/form4.xml,5.360000133514404,5.389999866485596,5.590000152587891,4.849999904632568,5.951750040054321,43.82249808850703,6.31775004863739,5.0,9.130000114440918,5.050000190734863,84.81781608179995,2.226724508802892,10.619999885559082,5.050000190734863,114.97975476840246,2.226724508802892,,,,,,,5.150000095367432,2.509999990463257,-0.2506666819254557,🚀 SPIKE BEFORE DROP - SUCCESSFUL TRADE,0.003209,"['👑 CEO', '💰 LARGE TRADE', '🐣 MICRO CAP', '📞 Communication', '📉 BELOW CLOSE', '🚀 SPIKE +20% [7d]', '🚀 SPIKE +20% [14d]', '📉 BELOW SMA20', '🟡 NEUTRAL (RSI)', '🟢 SUCCESSFUL TRADE C1', '🔁 CLUSTER BUY']",12.0,Ultra Conviction (12 - 14),🟢 SUCCESSFUL TRADE C1,🟢 SUCCESSFUL TRADE
